index,dsp time,sfn,Adjustment value
703,10992.281699228,10057,-20
704,10992.311708179,10087,-20
705,10992.321721604,10097,-21
706,10992.326734619,10102,-21
707,10992.356723353,10132,-21
708,10992.361717129,10137,-22
709,10992.401721759,10177,-22
710,10992.411739197,10187,-22
711,10992.421725977,10197,-22
712,10992.426713631,10202,-22
713,10992.431756069,10207,-22
714,10992.441773405,10217,-23
715,10992.471714557,7,-23
716,10992.476731018,12,-23
717,10992.481728703,17,-22
718,10992.486710596,22,-22
719,10992.501754578,37,-22
720,10992.521691255,57,-22
721,10992.551760442,87,-22
722,10992.556767335,92,-21
723,10992.561744547,97,-21
724,10992.566721296,102,-21
725,10992.571716923,107,-21
726,10992.576738786,112,-21
727,10992.581727572,117,-20
728,10992.601674382,137,-20
729,10992.631703806,167,-20
730,10992.641755606,177,-19
731,10992.646726594,182,-19
732,10992.651732870,187,-19
733,10992.656754166,192,-19
734,10992.661714969,197,-19
735,10992.681707818,217,-19
736,10992.711727880,247,-19
737,10992.721748456,257,-20
738,10992.736719444,272,-20
739,10992.741732561,277,-21
740,10992.756709465,292,-21
741,10992.761757664,297,-21
742,10992.801720318,337,-21
743,10992.806737808,342,-22
744,10992.811697788,347,-22
745,10992.816724125,352,-22
746,10992.821748919,357,-22
747,10992.826744187,362,-22
748,10992.841666306,377,-22
749,10992.871737757,407,-22
750,10992.881740586,417,-21
751,10992.896749742,432,-21
752,10992.916696810,452,-21
753,10992.936736419,472,-21
754,10992.941745216,477,-20
755,10992.946713580,482,-20
756,10992.951778960,487,-20
757,10992.956722170,492,-20
758,10992.961726543,497,-20
759,10992.991733693,527,-20
760,10992.996710545,532,-21
761,10993.001754989,537,-21
762,10993.006734053,542,-21
763,10993.011743930,547,-21
764,10993.041687139,577,-21
765,10993.071737242,607,-21
766,10993.076710082,612,-20
767,10993.081680761,617,-20
768,10993.086743209,622,-20
769,10993.121760802,657,-20
770,10993.156711368,692,-21
771,10993.161747736,697,-22
772,10993.166728909,702,-22
773,10993.171726028,707,-22
774,10993.176718878,712,-22
775,10993.201672993,737,-22
776,10993.231721810,767,-22
777,10993.236738683,772,-21
778,10993.241785751,777,-21
779,10993.246728909,782,-21
780,10993.276742335,812,-21
781,10993.281735905,817,-20
782,10993.286734053,822,-20
783,10993.291710236,827,-20
784,10993.296713117,832,-20
785,10993.301753343,837,-20
786,10993.321691718,857,-20
787,10993.351701954,887,-20
788,10993.356733024,892,-19
789,10993.361742798,897,-20
790,10993.366739866,902,-20
791,10993.371774588,907,-20
792,10993.401707664,937,-20
793,10993.431735236,967,-20
794,10993.441744341,977,-21
795,10993.446738014,982,-21
796,10993.481789454,1017,-21
797,10993.516772119,1052,-22
798,10993.521739146,1057,-22
799,10993.526730606,1062,-22
800,10993.531727314,1067,-22
801,10993.536746502,1072,-22
802,10993.561673353,1097,-22
803,10993.591713477,1127,-22
804,10993.596712860,1132,-21
805,10993.601727109,1137,-20
806,10993.606720936,1142,-20
807,10993.636736882,1172,-20
808,10993.641760699,1177,-20
809,10993.681753755,1217,-20
810,10993.686716923,1222,-19
811,10993.691742335,1227,-19
812,10993.696700257,1232,-19
813,10993.721692232,1257,-19
814,10993.751787294,1287,-19
815,10993.756725823,1292,-20
816,10993.761738528,1297,-21
817,10993.766736419,1302,-21
818,10993.796735699,1332,-21
819,10993.801713374,1337,-21
820,10993.841745987,1377,-21
821,10993.851787602,1387,-22
822,10993.856761728,1392,-22
823,10993.861741358,1397,-22
824,10993.881702880,1417,-22
825,10993.911734567,1447,-22
826,10993.921771759,1457,-23
827,10993.926722170,1462,-22
828,10993.931739763,1467,-22
829,10993.961711419,1497,-22
830,10993.991745730,1527,-22
831,10994.001792695,1537,-21
832,10994.006739146,1542,-21
833,10994.011735596,1547,-21
834,10994.041667026,1577,-21
835,10994.071732458,1607,-21
836,10994.076734516,1612,-20
837,10994.081764917,1617,-20
838,10994.086733436,1622,-20
839,10994.121785905,1657,-20
840,10994.126778497,1662,-19
841,10994.161713940,1697,-19
842,10994.166733847,1702,-19
843,10994.171732973,1707,-19
844,10994.176729475,1712,-19
845,10994.181737705,1717,-19
846,10994.201693415,1737,-19
847,10994.231752932,1767,-19
848,10994.236722119,1772,-20
849,10994.241781069,1777,-20
850,10994.246743209,1782,-20
851,10994.256729320,1792,-20
852,10994.276722325,1812,-20
853,10994.281717438,1817,-21
854,10994.306733230,1842,-21
855,10994.326723919,1862,-22
856,10994.336732407,1872,-22
857,10994.346726080,1882,-22
858,10994.351746759,1887,-22
859,10994.356750051,1892,-22
860,10994.361733179,1897,-23
861,10994.366752109,1902,-23
862,10994.376755349,1912,-23
863,10994.396713477,1932,-23
864,10994.401724897,1937,-23
865,10994.406734876,1942,-23
866,10994.411718209,1947,-22
867,10994.416720061,1952,-22
868,10994.421726697,1957,-22
869,10994.441699845,1977,-22
870,10994.471745216,2007,-22
871,10994.476733847,2012,-21
872,10994.481721039,2017,-21
873,10994.486736934,2022,-21
874,10994.521727160,2057,-21
875,10994.556731893,2092,-20
876,10994.561737757,2097,-20
877,10994.566727572,2102,-20
878,10994.571730298,2107,-20
879,10994.576706327,2112,-20
880,10994.601694958,2137,-20
881,10994.631733384,2167,-20
882,10994.636746862,2172,-17
883,10994.641709876,2177,-14
884,10994.646736265,2182,-14
885,10994.656724845,2192,-14
886,10994.676716049,2212,-14
887,10994.686738940,2222,-14
888,10994.691739763,2227,-15
889,10994.696715072,2232,-15
890,10994.701704732,2237,-15
891,10994.706718672,2242,-15
892,10994.711733024,2247,-15
893,10994.721677932,2257,-15
894,10994.751703395,2287,-15
895,10994.756697633,2292,-16
896,10994.761724691,2297,-16
897,10994.766714660,2302,-16
898,10994.771735236,2307,-16
899,10994.776720987,2312,-16
900,10994.801715843,2337,-16
901,10994.831725257,2367,-16
902,10994.841739248,2377,-17
903,10994.846718775,2382,-18
904,10994.851710699,2387,-18
905,10994.881676080,2417,-18
906,10994.911702674,2447,-18
907,10994.916702211,2452,-19
908,10994.926722633,2462,-19
909,10994.931728703,2467,-19
910,10994.961707201,2497,-19
911,10994.991723199,2527,-19
912,10994.996718106,2532,-20
913,10995.001680967,2537,-20
914,10995.006702160,2542,-20
915,10995.041730195,2577,-20
916,10995.076699022,2612,-21
917,10995.081696502,2617,-21
918,10995.086725565,2622,-21
919,10995.121736985,2657,-21
920,10995.126731893,2662,-22
921,10995.156723816,2692,-22
922,10995.161705195,2697,-22
923,10995.166736882,2702,-22
924,10995.176723199,2712,-22
925,10995.181707767,2717,-23
926,10995.191711008,2727,-23
927,10995.201761368,2737,-23
928,10995.206733899,2742,-23
929,10995.236713220,2772,-23
930,10995.241725771,2777,-24
931,10995.246750205,2782,-24
932,10995.281744084,2817,-24
933,10995.316727880,2852,-23
